brain_region_id,brain_region_name,cellinstance_cell_id,celltype_cell_name 
110,Bed nuclei of the stria terminalis juxtacapsular nucleus,226,superficial spiny neuron
110,Bed nuclei of the stria terminalis juxtacapsular nucleus,302,BNSTALG Type I neuron
110,Bed nuclei of the stria terminalis juxtacapsular nucleus,305,GALir magnocellular neurosecretory-type neuron
110,Bed nuclei of the stria terminalis juxtacapsular nucleus,306,BST large neuron
110,Bed nuclei of the stria terminalis juxtacapsular nucleus,307,cholinergic neuron
110,Bed nuclei of the stria terminalis juxtacapsular nucleus,315,Calretinin (CR) expressing neuron
111,Bed nuclei of the stria terminalis rhomboid nucleus,289,class A neuron
111,Bed nuclei of the stria terminalis rhomboid nucleus,305,GALir magnocellular neurosecretory-type neuron
111,Bed nuclei of the stria terminalis rhomboid nucleus,317,Parvalbumin (PV) expressing neuron
112,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,301,BNSTAL-5HT(NR) neuron
112,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,302,BNSTALG Type I neuron
112,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,303,BNSTALG Type II neuron
112,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,304,BNSTALG Type III neuron
112,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,305,GALir magnocellular neurosecretory-type neuron
112,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,306,BST large neuron
112,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,308,vSub-BST neuron
112,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,310,vSub/PVN neuron
113,Bed nuclei of the stria terminalis anterior division dorsolateral nucleus,289,class A neuron
114,Bed nuclei of the stria terminalis anterior division fusiform nucleus,289,class A neuron
114,Bed nuclei of the stria terminalis anterior division fusiform nucleus,301,BNSTAL-5HT(NR) neuron
114,Bed nuclei of the stria terminalis anterior division fusiform nucleus,303,BNSTALG Type II neuron
114,Bed nuclei of the stria terminalis anterior division fusiform nucleus,304,BNSTALG Type III neuron
114,Bed nuclei of the stria terminalis anterior division fusiform nucleus,305,GALir magnocellular neurosecretory-type neuron
114,Bed nuclei of the stria terminalis anterior division fusiform nucleus,306,BST large neuron
114,Bed nuclei of the stria terminalis anterior division fusiform nucleus,307,cholinergic neuron
114,Bed nuclei of the stria terminalis anterior division fusiform nucleus,308,vSub-BST neuron
114,Bed nuclei of the stria terminalis anterior division fusiform nucleus,310,vSub/PVN neuron
114,Bed nuclei of the stria terminalis anterior division fusiform nucleus,318,BSTse bipolar neuron
114,Bed nuclei of the stria terminalis anterior division fusiform nucleus,322,round-to-multipolar neuron
115,Bed nuclei of the stria terminalis anterior division ventral nucleus,289,class A neuron
115,Bed nuclei of the stria terminalis anterior division ventral nucleus,302,BNSTALG Type I neuron
115,Bed nuclei of the stria terminalis anterior division ventral nucleus,303,BNSTALG Type II neuron
115,Bed nuclei of the stria terminalis anterior division ventral nucleus,304,BNSTALG Type III neuron
115,Bed nuclei of the stria terminalis anterior division ventral nucleus,305,GALir magnocellular neurosecretory-type neuron
115,Bed nuclei of the stria terminalis anterior division ventral nucleus,306,BST large neuron
115,Bed nuclei of the stria terminalis anterior division ventral nucleus,309,BST-PVN neuron
115,Bed nuclei of the stria terminalis anterior division ventral nucleus,310,vSub/PVN neuron
115,Bed nuclei of the stria terminalis anterior division ventral nucleus,319,Pericommissural type I neuron
115,Bed nuclei of the stria terminalis anterior division ventral nucleus,322,round-to-multipolar neuron
115,Bed nuclei of the stria terminalis anterior division ventral nucleus,323,oval-to-spindle neuron
116,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,289,class A neuron
116,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,300,BNSTAL-5HT(DEP) neuron
116,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,305,GALir magnocellular neurosecretory-type neuron
116,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,322,round-to-multipolar neuron
116,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,323,oval-to-spindle neuron
116,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,324,large multipolar neuron
118,Bed nuclei of the stria terminalis posterior division principal nucleus,209,OP-projecting retinal ganglion cell
118,Bed nuclei of the stria terminalis posterior division principal nucleus,212,type 6a bipolar cell
118,Bed nuclei of the stria terminalis posterior division principal nucleus,289,class A neuron
118,Bed nuclei of the stria terminalis posterior division principal nucleus,299,BNSTAL-5HT (HYP-DEP) neuron
118,Bed nuclei of the stria terminalis posterior division principal nucleus,301,BNSTAL-5HT(NR) neuron
118,Bed nuclei of the stria terminalis posterior division principal nucleus,302,BNSTALG Type I neuron
118,Bed nuclei of the stria terminalis posterior division principal nucleus,303,BNSTALG Type II neuron
118,Bed nuclei of the stria terminalis posterior division principal nucleus,304,BNSTALG Type III neuron
118,Bed nuclei of the stria terminalis posterior division principal nucleus,305,GALir magnocellular neurosecretory-type neuron
118,Bed nuclei of the stria terminalis posterior division principal nucleus,306,BST large neuron
118,Bed nuclei of the stria terminalis posterior division principal nucleus,309,BST-PVN neuron
118,Bed nuclei of the stria terminalis posterior division principal nucleus,310,vSub/PVN neuron
118,Bed nuclei of the stria terminalis posterior division principal nucleus,311,GAD67 neuron
118,Bed nuclei of the stria terminalis posterior division principal nucleus,325,tranversely oriented neuron
11843,Bed nuclei of the stria terminalis anteromedial area,329,large GAL-ir neuron
