3rd ventricle,paxinos/franklin-2001,mouse,http://brancusi1.usc.edu/brain_parts/3rd-ventricle-2/,http://neurolex.org/wiki/Birnlex_714,birnlex_714,
3rd ventricle,paxinos/watson-1998,rat,http://brancusi1.usc.edu/brain_parts/3rd-ventricle-2/,http://neurolex.org/wiki/Birnlex_714,birnlex_714,
4th ventricle,paxinos/franklin-2001,mouse,http://brancusi1.usc.edu/brain_parts/4th-ventricle-2/,http://neurolex.org/wiki/Birnlex_1256,birnlex_1256,
4th ventricle,paxinos/watson-1998,rat,http://brancusi1.usc.edu/brain_parts/4th-ventricle-2/,http://neurolex.org/wiki/Birnlex_1256,birnlex_1256,
abducens nerve,dong-2007,mouse,http://brancusi1.usc.edu/brain_parts/abducens-nerve-2/,http://neurolex.org/wiki/Category:Abducens_nerve,birnlex_876,
abducens nerve,bowden-human-2002,human,http://brancusi1.usc.edu/brain_parts/abducens-nerve-2/,http://neurolex.org/wiki/Category:Abducens_nerve,birnlex_876,
abducens nerve,bowden-macaca-2002,macaca fascicularis,http://brancusi1.usc.edu/brain_parts/abducens-nerve-2/,http://neurolex.org/wiki/Category:Abducens_nerve,birnlex_876,
abducens nerve,swanson-1998,rat,http://brancusi1.usc.edu/brain_parts/abducens-nerve-2/,http://neurolex.org/wiki/Category:Abducens_nerve,birnlex_876,
abducens nerve,swanson-1992,rat,http://brancusi1.usc.edu/brain_parts/abducens-nerve-2/,http://neurolex.org/wiki/Category:Abducens_nerve,birnlex_876,
abducens nerve,swanson-2004,rat,http://brancusi1.usc.edu/brain_parts/abducens-nerve-2/,http://neurolex.org/wiki/Category:Abducens_nerve,birnlex_876,
abducens nerve fibers,bowden-human-2002,human,http://brancusi1.usc.edu/brain_parts/abducens-nerve-fibers-2/,http://neurolex.org/wiki/Category:Abducens_nerve_fibers,birnlex_1689,
abducens nerve fibers,bowden-macaca-2002,macaca fascicularis,http://brancusi1.usc.edu/brain_parts/abducens-nerve-fibers-2/,http://neurolex.org/wiki/Category:Abducens_nerve_fibers,birnlex_1689,
abducens nucleus,hof et al.-2000,mouse,http://brancusi1.usc.edu/brain_parts/abducens-nucleus-2/,http://neurolex.org/wiki/Category:Abducens_nucleus,birnlex_1366,
abducens nucleus,dong-2007,mouse,http://brancusi1.usc.edu/brain_parts/abducens-nucleus-2/,http://neurolex.org/wiki/Category:Abducens_nucleus,birnlex_1366,
abducens nucleus,bowden-human-2002,human,http://brancusi1.usc.edu/brain_parts/abducens-nucleus-2/,http://neurolex.org/wiki/Category:Abducens_nucleus,birnlex_1366,
abducens nucleus,bowden-macaca-2002,macaca fascicularis,http://brancusi1.usc.edu/brain_parts/abducens-nucleus-2/,http://neurolex.org/wiki/Category:Abducens_nucleus,birnlex_1366,
abducens nucleus,swanson-1998,rat,http://brancusi1.usc.edu/brain_parts/abducens-nucleus-2/,http://neurolex.org/wiki/Category:Abducens_nucleus,birnlex_1366,
abducens nucleus,swanson-1992,rat,http://brancusi1.usc.edu/brain_parts/abducens-nucleus-2/,http://neurolex.org/wiki/Category:Abducens_nucleus,birnlex_1366,
abducens nucleus,swanson-2004,rat,http://brancusi1.usc.edu/brain_parts/abducens-nucleus-2/,http://neurolex.org/wiki/Category:Abducens_nucleus,birnlex_1366,
abducens nucleus,paxinos/watson-1998,rat,http://brancusi1.usc.edu/brain_parts/abducens-nucleus-2/,http://neurolex.org/wiki/Category:Abducens_nucleus,birnlex_1366,
accessory basal amygdaloid nucleus,bowden-human-2002,human,http://brancusi1.usc.edu/brain_parts/accessory-basal-amygdaloid-nucleus-2/,http://neurolex.org/wiki/Category:Accessory_basal_amygdaloid_nucleus,birnlex_2686,
accessory basal amygdaloid nucleus,bowden-macaca-2002,macaca fascicularis,http://brancusi1.usc.edu/brain_parts/accessory-basal-amygdaloid-nucleus-2/,http://neurolex.org/wiki/Category:Accessory_basal_amygdaloid_nucleus,birnlex_2686,
accessory cuneate nucleus,bowden-human-2002,human,http://brancusi1.usc.edu/brain_parts/accessory-cuneate-nucleus-2/,http://neurolex.org/wiki/Category:Accessory_cuneate_nucleus,birnlex_2634,
accessory cuneate nucleus,bowden-macaca-2002,macaca fascicularis,http://brancusi1.usc.edu/brain_parts/accessory-cuneate-nucleus-2/,http://neurolex.org/wiki/Category:Accessory_cuneate_nucleus,birnlex_2634,
accessory medullary lamina,bowden-human-2002,human,http://brancusi1.usc.edu/brain_parts/accessory-medullary-lamina/,http://neurolex.org/wiki/Category:Accessory_medullary_lamina,birnlex_1626,
accessory medullary lamina,bowden-macaca-2002,macaca fascicularis,http://brancusi1.usc.edu/brain_parts/accessory-medullary-lamina/,http://neurolex.org/wiki/Category:Accessory_medullary_lamina,birnlex_1626,
accessory nerve,dong-2007,mouse,http://brancusi1.usc.edu/brain_parts/accessory-spinal-nerve/,http://neurolex.org/wiki/Category:Accessory_nerve,birnlex_812,
accessory nerve,swanson-1992,rat,http://brancusi1.usc.edu/brain_parts/accessory-spinal-nerve/,http://neurolex.org/wiki/Category:Accessory_nerve,birnlex_812,
accessory nerve,swanson-1998,rat,http://brancusi1.usc.edu/brain_parts/accessory-spinal-nerve/,http://neurolex.org/wiki/Category:Accessory_nerve,birnlex_812,
accessory nerve,swanson-2004,rat,http://brancusi1.usc.edu/brain_parts/accessory-spinal-nerve/,http://neurolex.org/wiki/Category:Accessory_nerve,birnlex_812,
accessory nerve fibers,bowden-human-2002,human,http://brancusi1.usc.edu/brain_parts/accessory-nerve-fibers/,http://neurolex.org/wiki/Category:Accessory_nerve_fiber_bundle,birnlex_916,
